,name,lat,lon
0,Pioneer Networks,52.141899,5.583035
1,Pioneer Networks,53.334869,6.516187
2,Pioneer Networks,52.692184,5.056780000000001
3,Pioneer Networks,52.50573000000001,4.98528
4,Pioneer Networks,51.947071,6.02425
5,NextGen Technologies,52.897564,5.583602
6,NextGen Technologies,52.322636,4.972053
7,NextGen Technologies,52.074196,5.095043
8,NextGen Technologies,53.173977,6.208481
9,NextGen Technologies,52.1436,5.045227
10,Global Group,52.088352,4.870138
11,Global Group,51.979279,5.794896
12,Global Group,52.214283,5.28576
13,Global Group,52.365601,5.2562050000000005
14,Global Group,51.577759,4.739487
15,Swift Industries,51.47007,4.661092
16,Swift Industries,52.382301,4.7976
17,Swift Industries,51.930698,4.78602
18,Swift Industries,51.709614,5.367338
19,Swift Industries,52.083893,4.743723
20,Dynamic Industries,51.563255,5.074061
21,Dynamic Industries,52.081909,5.4129830000000005
22,Dynamic Industries,51.548477,4.9419830000000005
23,Dynamic Industries,52.33506,5.218558
24,Dynamic Industries,52.093933,6.159277
25,Dynamic Industries,51.658741,5.034669999999999
26,Dynamic Industries,51.645988,5.6250860000000005
27,Dynamic Industries,52.262096,4.6197870000000005
28,Dynamic Industries,53.225334,6.527607
44,Innovative Solutions,52.162647,4.53262
45,Innovative Solutions,51.830463,5.813569
46,Innovative Solutions,53.224689,6.562475
47,Innovative Solutions,53.235546,6.549915
48,Innovative Solutions,53.230927,6.544728
49,Innovative Solutions,51.965778,4.56236
50,Innovative Solutions,52.692184,5.056780000000001
51,Global Technologies,52.506088,6.26204
52,Global Technologies,52.892761,6.1427
53,Global Technologies,52.396835,4.951975
54,Global Technologies,52.381847,4.855705
55,Global Technologies,52.60591899999999,4.7117510000000005
56,Global Technologies,51.947071,6.02425
57,Global Technologies,51.352131,5.468651
58,Global Enterprises,51.774372,4.6749540000000005
59,Global Enterprises,51.785801,4.67694
60,Global Enterprises,52.377754,4.618129
61,Global Enterprises,52.169071,5.281478
62,Global Enterprises,52.510326,5.073955000000001
63,Global Enterprises,51.798405,5.024983
64,Global Enterprises,52.355858000000005,4.910694
65,Global Enterprises,52.358513,4.989847
66,Global Corporation,52.60585,6.45651
67,Global Corporation,52.970673,6.956971
68,Global Corporation,52.348961,4.877658
69,Global Corporation,51.766502,5.501873000000001
70,Global Corporation,51.972099,5.934159999999999
71,Global Corporation,53.213921,6.50253
72,Elite Ventures,52.719086,6.451782
73,Elite Ventures,51.794071,4.704205
74,Elite Ventures,52.134266,5.029293
75,Elite Ventures,52.058346,4.506284
76,Elite Ventures,51.862389,6.047346
77,Elite Ventures,51.935596,4.603708999999999
78,Green Enterprises,53.171558,5.79396
79,Green Enterprises,51.642273,4.853041
80,Green Enterprises,51.997402,4.350919
81,Green Enterprises,51.826839,4.8332440000000005
82,Green Enterprises,51.596615,6.010364
83,Visionary Partners,52.201824,4.425641000000001
84,Visionary Partners,52.11208,4.287297
85,Visionary Partners,52.157463,5.395512999999999
86,Visionary Partners,52.663513,6.738163
87,Visionary Partners,50.857361,6.027091
88,Visionary Partners,53.196468,5.792408999999999
89,Visionary Ventures,51.473125,5.545992
90,Visionary Ventures,51.561028,5.105252
91,Visionary Ventures,51.978542,5.662942
92,Visionary Ventures,51.587292,4.314086
93,Visionary Ventures,51.460587,5.470428
94,Visionary Ventures,52.050022,5.23329
95,Visionary Ventures,53.103565,7.007317
96,Visionary Ventures,52.465271,5.996761
97,Visionary Ventures,53.27536,5.65745
98,Visionary Ventures,52.369431,4.902561
99,Visionary Ventures,52.500275,4.7678970000000005
100,Visionary Ventures,51.890999,6.38221
101,Visionary Ventures,52.417385,4.892918
102,Visionary Ventures,53.05868100000001,6.206062
103,Visionary Ventures,52.351871,4.653853
104,Visionary Ventures,53.187496,5.550603
105,Visionary Ventures,52.53076899999999,4.708856
106,Visionary Ventures,53.162689,6.390552
107,Visionary Ventures,52.352077,5.1391800000000005
108,Visionary Ventures,52.950996,6.44759
109,Visionary Ventures,51.864212,4.993211
110,Visionary Ventures,51.578388,4.739012000000001
133,NextGen Corporation,51.696659,5.329523
134,NextGen Corporation,51.471706,3.819597
135,NextGen Corporation,52.055756,4.314502
136,NextGen Corporation,52.314919,4.659506
137,NextGen Corporation,53.103565,7.007317
138,NextGen Corporation,51.01371,5.87438
139,NextGen Corporation,52.604092,6.458151
140,NextGen Corporation,52.155052000000005,4.499071
141,NextGen Corporation,52.090034,4.902172
142,NextGen Corporation,52.369431,4.902561
143,NextGen Corporation,52.021797,4.218062000000001
144,NextGen Corporation,53.162689,6.390552
145,NextGen Corporation,52.045902000000005,5.670184
146,NextGen Corporation,52.350658,4.9246
147,NextGen Corporation,53.242516,5.891603
148,NextGen Corporation,51.563034,5.091385
149,NextGen Corporation,52.490082,5.439011
150,NextGen Corporation,52.082127,5.134643
151,NextGen Corporation,51.991638,5.971712999999999
152,NextGen Corporation,53.00032,6.51467
153,NextGen Corporation,51.648251,3.997746
154,NextGen Corporation,52.009892,4.69993
155,NextGen Corporation,51.752739,5.50009
156,NextGen Corporation,51.990685,4.454902
157,Pioneer Corporation,51.609413,5.142735
158,Pioneer Corporation,51.98605,6.567434
159,Pioneer Corporation,52.318287,4.865719
160,Pioneer Corporation,52.221352,6.898242999999999
161,Pioneer Corporation,53.323051,5.998163
162,Pioneer Corporation,52.651489,5.086193
163,Pioneer Corporation,51.465488,3.58233
164,Pioneer Corporation,52.04406,4.25925
165,Pioneer Corporation,51.773911,5.103319
166,Pioneer Corporation,52.066723,4.245369999999999
167,Pioneer Corporation,53.244514,6.40646
168,Pioneer Corporation,52.875168,7.059699
169,Pioneer Corporation,51.676411,5.059016000000001
170,Pioneer Corporation,52.292458,6.577825
171,Pioneer Corporation,52.047665,5.671479
172,Pioneer Corporation,51.997402,4.350919
173,Pioneer Corporation,52.158409000000006,5.379532
174,Pioneer Corporation,52.77819399999999,6.8971
175,Pioneer Corporation,51.767342,5.872963
176,Pioneer Corporation,51.482815,5.13783
177,Innovative Ventures,52.986996,6.844786999999999
178,Innovative Ventures,52.109234,5.1747
179,Innovative Ventures,51.243427,5.707866
180,Innovative Ventures,52.362484,4.939544000000001
181,Innovative Ventures,52.080627,5.489845
182,Innovative Ventures,52.492485,4.692416000000001
183,Innovative Ventures,52.115517,5.127659
184,Innovative Ventures,51.893074,4.162915
185,Innovative Ventures,51.348106,5.550733
186,Innovative Ventures,52.074299,5.094664
187,Innovative Ventures,52.582375,6.639202
188,Innovative Ventures,52.064671,5.136703
189,Innovative Ventures,51.558174,5.088768
190,Innovative Ventures,52.303177000000005,4.677549
191,Innovative Ventures,52.94503,5.93659
192,Innovative Ventures,51.828537,4.327096
193,Innovative Ventures,51.950188,4.553647
194,Innovative Ventures,52.722237,4.738335
195,Innovative Ventures,52.358513,4.989847
196,Innovative Ventures,51.992867,4.205607
197,Innovative Ventures,51.979038,5.79541
198,Innovative Ventures,52.379044,4.749952
199,Innovative Ventures,53.19179499999999,5.992176000000001
200,Innovative Ventures,51.471779,5.66213
201,Innovative Ventures,53.18526800000001,5.79005
202,Dynamic Group,52.041187,5.078105
203,Dynamic Group,53.22758100000001,6.599025
204,Dynamic Group,52.079704,5.038055
205,Dynamic Group,51.602097,4.105913
206,Dynamic Group,52.356773,6.661183
207,Dynamic Group,53.09431800000001,5.830876
208,Dynamic Group,52.032318,5.180756
209,Dynamic Group,52.009113,4.364719999999999
210,Dynamic Group,51.489288,5.472738
211,Dynamic Group,51.59066,5.0787510000000005
212,Dynamic Group,52.016609,4.53397
213,Dynamic Group,52.346043,4.863383
214,Dynamic Group,50.818241,6.010276999999999
215,Dynamic Group,51.485909,4.309346
216,Dynamic Group,52.001022,4.330551
217,Dynamic Group,52.772167,5.106915
218,Dynamic Group,52.302532,5.254082
219,Dynamic Group,52.458237,4.799123000000001
220,Dynamic Group,52.260548,4.558776
221,Dynamic Group,52.356773,6.661183
222,Dynamic Group,52.036205,5.071883000000001
223,Dynamic Group,51.8102,4.63733
224,Dynamic Group,53.16348299999999,6.772923
225,Dynamic Group,52.37421,4.52795
226,Dynamic Group,52.13525,4.65054
227,Global Ventures,51.505951,4.29426
228,Global Ventures,53.0644,5.520002
229,Global Ventures,51.750919,5.885168
230,Global Ventures,53.334042,6.520118
231,Global Ventures,51.647255,4.832754
232,Global Ventures,51.826221,4.759817
233,Global Ventures,50.925522,5.931202
234,Global Ventures,51.880787,5.706499
235,Global Ventures,53.378777,5.253602
236,Global Ventures,50.894142,6.060411
237,Global Ventures,52.513889,6.0866430000000005
238,Global Ventures,50.848465,5.676737
239,Global Ventures,52.065598,4.319516
240,Global Ventures,51.934631,6.1304
241,Global Ventures,52.349895,4.939671
242,Global Ventures,52.144226,6.195166
243,Visionary Technologies,52.51309200000001,5.721375
244,Visionary Technologies,52.961308,5.808165
245,Visionary Technologies,51.275429,4.0527
246,Visionary Technologies,52.231731,5.98015
247,Visionary Technologies,52.348457,6.650421000000001
248,Visionary Technologies,52.029751,5.543731
249,Visionary Technologies,52.224621,4.674318
250,Visionary Technologies,50.977573,5.765018
251,Visionary Technologies,52.037048,4.636224
252,Visionary Technologies,52.12817,4.661505
253,Visionary Technologies,53.262493000000006,5.758945
254,Visionary Technologies,53.162785,6.743613000000001
255,Visionary Technologies,51.770145,5.514526999999999
256,Visionary Technologies,52.352539,4.855586
257,Visionary Technologies,52.011696,4.530617
258,Visionary Technologies,51.476162,5.706247
259,Visionary Technologies,52.201115,5.931297
260,Visionary Technologies,52.045479,4.725994
261,Visionary Technologies,52.128269,5.20987
262,Green Networks,52.65576899999999,4.75776
263,Green Networks,53.100639,6.87555
264,Green Networks,51.587162,5.334548000000001
265,Green Networks,51.523144,4.272263
266,Green Networks,52.484772,4.666244
267,Green Networks,51.997501,5.311703
268,Green Networks,51.59325,4.799486
269,Green Networks,52.155128000000005,4.494127
270,Green Networks,51.862389,6.047346
271,Green Networks,52.015602,5.121546
272,Green Networks,51.538704,5.628766000000001
273,Green Networks,52.386963,4.621999
274,Green Networks,52.133644,6.610428
275,Green Networks,52.164272,6.755087
276,Green Networks,51.853687,4.47939
277,Green Networks,51.850735,4.368372
278,Green Networks,51.924789,4.5136400000000005
279,Green Networks,53.389423,5.30609
280,Green Networks,51.794048,5.650295
281,Green Networks,52.958828,5.925816
282,Swift Ventures,52.360142,4.6285
283,Swift Ventures,50.834587,5.984534
284,Swift Ventures,52.94503,5.93659
285,Swift Ventures,52.086578,5.0857410000000005
286,Swift Ventures,52.219414,4.433378
287,Swift Ventures,52.378132,4.90041
288,Swift Ventures,52.36655,4.924116000000001
289,Swift Ventures,51.485416,5.141847
290,Swift Ventures,51.993198,4.35952
291,Swift Ventures,52.266529,6.142705
292,Swift Ventures,52.330585,6.282518
293,Swift Ventures,52.16341,4.491140000000001
294,Swift Ventures,51.833408,4.130643
295,Swift Ventures,52.024189,5.553905
296,Swift Ventures,52.39645,5.25779
297,Swift Ventures,53.11142,6.885773
298,Swift Ventures,52.944832,4.742723000000001
299,NextGen Enterprises,53.170788,5.420315
