totalsum,number_stops,Max_to_depot,Min_to_depot,vehicle_cap,average_percentage_in_circle,mean_distance_within_circle,delivery_density,radius,real_km_order,chosen_company,chosen_candidate
1028.9781984058063,12,119.8715514820282,20.15603299533792,12,0.5618260756428968,0.6044658608558995,1.884976581053209,0.8218680163622553,56.874536294917,NextGen Networks,Elite Solutions
1545.7812057472095,14,145.1215902720815,29.311090595201666,8,0.5177707450606689,0.5300230555399221,2.144698560614232,0.7704987334500788,80.58801627949114,Pioneer Group,Pioneer Corporation
3770.558391131797,42,146.2654949557496,20.330123972875015,9,0.5117673530572581,0.437499923457504,8.952081786863928,0.7303123965247139,47.828658594258386,Swift Partners,Modern Enterprises
1550.1076478050884,15,154.16161421765864,31.361449922528948,4,0.23644392953917656,0.3562824517769948,1.3300994257439687,0.6918277984766985,114.05474815844957,Swift Ventures,Global Networks
1295.2815320151838,11,138.56703720680733,45.49506905560972,4,0.6224068178177793,0.7139542968981153,1.0136747550962266,0.9705912585572977,119.56957551260435,Elite Consulting,NextGen Networks
1866.599534222862,23,139.14350117116803,7.525119946916158,13,0.17566806942083601,0.2236872101591234,5.118616602857113,0.3526661372062667,35.6074401128134,Global Enterprises,Swift Corporation
2621.27107324959,26,144.8686099679827,15.494782474459585,10,0.6211000072482987,0.46343400203821694,3.201268163025257,0.8918853480789233,45.43736682170801,Visionary Group,Elite Group
2717.7110476297953,29,145.7710468916053,14.305476220329728,9,0.4907503208278803,0.5843291320337715,2.632642458451258,0.8517354988360202,41.644619704171376,Elite Group,Visionary Technologies
3172.455403366919,27,159.8247227626519,9.866248210360343,4,0.7247300318714021,0.6719659998462297,1.038498248025693,1.107266537079086,92.39271427477385,NextGen Enterprises,Visionary Enterprises
1287.6142729970184,15,139.19977589477875,20.15603299533792,8,0.35676248535656946,0.7079392019568432,2.7448791489226143,0.8341402441058454,51.187019731726934,Elite Industries,Elite Solutions
2987.439057145706,30,148.82730069104892,14.939552902319194,6,0.5618260756428968,0.6044658608558995,1.884976581053209,0.8218680163622553,49.16337593797195,NextGen Networks,Modern Corporation
2871.393431216062,26,143.90379450758124,17.972458468755185,16,0.5725509133424505,0.49576416469337303,5.866937483203815,0.8068818683431854,38.54801452304543,Visionary Enterprises,NextGen Corporation
1829.4766497657954,15,157.20677317504848,31.361449922528948,16,0.33211384080733597,0.46154835523477916,1.49540818818821,0.9227311503763778,54.71959646049812,Dynamic Group,Swift Ventures
