totalsum,number_stops,Max_to_depot,Min_to_depot,vehicle_cap,real_km_order,chosen_company,chosen_candidate,greedy_total_sum,average_percentage_in_circle,mean_distance_within_circle,delivery_density,radius,average_overlap_percentage,average_cluster_size,average_centroid_distance,average_distance_within_clusters,average_distance_between_clusters,average_minimal_distance,average_maximal_distance,percentage_overlap,number_clusters,avg_distance_points_to_centroid,max_distance_points_to_centroid,min_distance_points_to_centroid,amount_noise_points
1453.1722444069574,18,135.77748950388232,36.675356699256646,8,52.74432993455549,Global Partners,Swift Technologies,7349.494727467721,0.6427789000731381,0.6668570316848274,1.4665349325113228,0.931770278378629,0.24393328540787707,12.72,0.19139385407256004,27.14786603528713,90.00005454726852,0.011799568899419712,0.6180040475343442,1.0,18,59.910796000084765,189.77373405591737,1.0660731186028205,4
922.793827791706,13,135.77748950388232,38.20486511240052,20,44.562596171153594,Visionary Ventures,Swift Technologies,2656.0610447359654,0.3826001203033502,0.3435571715384921,4.608062758587799,0.5256490292318009,0.18637361554499937,30.846153846153847,0.32153597291223734,36.59150437757706,106.26587014188223,0.0024870572953631653,1.087101853382604,0.875,12,46.06105507463029,212.95682711500365,0.617118664215105,12
1677.5356469499056,16,149.28787604095814,29.812986887506536,11,50.47048925389796,Swift Group,Innovative Solutions,7878.763864205377,0.6188043770574626,0.7220318986993204,1.3560913973753088,0.9689705525434028,0.39544889479958134,21.0,0.23490035452489524,16.544434258305888,95.3723616935795,0.0033001970715819053,0.7737156746624152,1.0,8,66.87665400596025,188.8855227596879,2.743413538433889,7
4381.651553742493,44,148.82730069104892,14.305476220329728,11,34.4291715976844,Modern Corporation,Visionary Technologies,46087.70918291215,0.4864557639157181,0.5566661754877342,4.285137919806511,0.861871780829367,0.40829071221573365,6.314814814814815,0.11813116300498447,16.165830167705277,89.49366263182283,0.04343501839007332,0.3344800961517115,0.8947368421052632,15,69.31853418323391,170.8371189375842,4.482933959072984,7
1559.1758857368732,16,144.8686099679827,6.7287923716538875,18,51.96759278780446,Elite Group,Green Industries,5955.446993140288,0.4977922552931931,0.5843291320337715,2.632642458451258,0.8517354988360202,0.4870377353840087,10.958333333333334,0.202867524570915,20.263527741324253,105.59958849963628,0.039925001915310676,0.6374181675790336,0.8333333333333334,17,62.30217589063912,184.87771404376812,3.2343273468108054,12
1995.2501981448484,24,135.77748950388232,14.02813664903591,8,45.482744699622465,Swift Technologies,NextGen Solutions,10594.161875163707,0.3681482520368179,0.28399928342511827,4.216040558562299,0.5495442514237711,0.47972493641778025,20.4375,0.2742934092300805,38.329805988112795,118.65774712005395,0.00603453769570438,0.8750924110232372,0.875,14,69.27817218299103,186.40971847603728,0.5632941535734932,10
3072.6859390607483,30,165.2337850637706,10.11857939759048,10,44.895693802450374,Global Partners,Global Industries,21591.570268322856,0.6427789000731381,0.6668570316848274,1.4665349325113228,0.931770278378629,0.25284212209562434,16.8,0.20935899422357374,20.328315865934282,109.0122456609516,0.0062029000482735205,0.6852726042314558,0.9,15,67.4572520438046,179.2422534039833,2.236079751382605,7
2915.900668085511,28,146.2654949557496,9.866248210360343,16,40.697543042655994,Modern Enterprises,Dynamic Industries,16903.120376037212,0.5000900763485638,0.5624406363655408,4.3602428143384975,0.896119790569392,0.4479662698412698,6.682926829268292,0.1406026888267999,23.656853698804937,93.42888897380293,0.04774632519980205,0.3906691926999888,0.75,17,71.22381288795505,175.36092584443585,4.417893640834666,10
2282.0556320492765,22,159.26827449290425,12.842320337305388,13,47.98756893981659,Dynamic Consulting,Visionary Solutions,10751.03393661074,0.6067291579344699,0.6324290707967788,3.2044228027595563,0.891446225351014,0.40850647149274155,12.588235294117647,0.167259646454126,24.345082274856594,86.13377986635071,0.010185087546932958,0.529947641628394,0.8571428571428571,11,72.93808271611127,159.26227124905208,2.8016230843273204,4
1531.171887136392,17,144.8686099679827,28.427034226055046,17,44.15800153682934,Elite Group,Innovative Solutions,7833.012039624847,0.4977922552931931,0.5843291320337715,2.632642458451258,0.8517354988360202,0.5253387393604785,17.0,0.2100044898012119,26.89109079451483,116.38238785507629,0.01114391424201803,0.6889238915285597,1.0,10,62.93487082643311,210.5452083073164,1.7088698172718015,9
2301.6488893704654,28,143.68314269548637,9.238388348332093,17,33.81801391338362,Global Enterprises,Green Networks,12657.5927977287,0.1777350558516856,0.2236872101591234,5.118616602857113,0.3526661372062667,0.43918138731118267,16.65,0.22150627950265867,20.751249916661475,100.91294118817848,0.0042579284255818625,0.7154553798114679,1.0,16,68.91684580308097,181.5370552377061,0.1612648978305582,9
3154.8570156963606,25,158.63222288721235,13.67886623096255,20,38.62783509861489,Green Ventures,Innovative Ventures,14438.75475445738,0.6397847134900255,0.646791973836153,3.6978942950890854,0.9277860052923901,0.3731085996564911,7.866666666666666,0.12532454788785966,27.404853363492112,74.60969307332492,0.027869220470222042,0.38905135375257366,1.0,14,71.86015067313356,188.8135811263081,0.2803676796790802,7
1987.1053867820845,16,159.8247227626519,9.866248210360343,16,57.69968633832678,NextGen Enterprises,Innovative Consulting,7278.002623605939,0.7332039241389506,0.6719659998462297,1.038498248025693,1.107266537079086,0.3912182677056819,17.347826086956523,0.2160079864673222,20.381781137574947,91.85837015508405,0.02234495187267379,0.6826235109783081,0.8571428571428571,14,69.3805069541212,189.7607762309078,5.616920479669269,4
1469.0433083103378,14,160.78094364825878,6.7287923716538875,20,49.88075620880051,Green Industries,Innovative Enterprises,4449.240114898503,0.5386573287578652,0.5042726847228968,1.3521224985178895,0.840383798888113,0.5300437030075188,22.352941176470587,0.2475513828648149,23.735064274733816,115.30290246660724,0.0027836382550400353,0.8404929808362199,1.0,13,68.47737498569352,182.69917532567175,4.66410535487184,8
1220.6790887688962,13,159.77165026293017,23.340498758315537,13,53.73982513001937,Modern Solutions,Dynamic Networks,4089.80324138608,0.23842874305463868,0.45492822108342573,2.175776780472422,0.6624887719901462,0.3522445474304077,28.714285714285715,0.30349957747822776,33.07460975980892,112.61584609838354,0.0004159570797410569,0.9438343172490049,0.8333333333333334,11,64.69365317014868,203.35401347143957,0.9114320291098869,8
1987.1053867820845,16,159.8247227626519,9.866248210360343,20,57.69968633832678,NextGen Enterprises,Innovative Consulting,7278.002623605939,0.7332039241389506,0.6719659998462297,1.038498248025693,1.107266537079086,0.2987761404402271,14.782608695652174,0.2089287053975242,31.78748934117135,94.13637826496276,0.013198286784448676,0.6419299406524388,0.8571428571428571,19,64.85057776096906,189.61323452407152,4.439784098656777,8
1280.1900998413487,11,138.56703720680733,45.49506905560972,18,56.55800675930887,Elite Consulting,Green Enterprises,2980.9851453401393,0.6289245971794647,0.7139542968981153,1.0136747550962266,0.9705912585572977,0.5685776942355889,19.866666666666667,0.27791129903159756,35.723340799632375,97.03164141563289,0.008834192379171369,0.9315880924827719,1.0,18,56.138358747402705,187.62603615522764,3.8406523092014377,10
1246.3128315306533,13,125.8053211554146,24.672584406946214,17,47.27952699301607,Innovative Group,Dynamic Networks,3718.683308767376,0.35854947486104405,0.3914296595396565,4.089346258503618,0.4832354075982817,0.5114840984611362,24.692307692307693,0.3197914445891648,31.844606986008575,102.16095875075116,0.010472487650917843,1.093421441570802,0.875,16,52.29169601146675,226.79275442168873,0.7627970072111867,5
1330.1574765609034,15,124.6120917067215,10.488612467296166,18,49.39352918001778,Pioneer Industries,Innovative Consulting,4630.725713693804,0.29652668816471944,0.29421809673796095,4.90804140864146,0.5093319854701367,0.46183369302886834,15.285714285714286,0.23001481128540416,27.507542967958766,113.51664875163843,0.011177931878907102,0.7185679681971101,0.8333333333333334,19,65.49272356279648,215.43391298487472,3.0325563332341887,9
2949.3063871157065,32,148.82730069104892,14.939552902319194,19,31.048355880982765,Global Technologies,Modern Corporation,16081.286680476114,0.36657756956918536,0.6079413011924946,1.67141210738807,0.7558644485034748,0.4068266731643924,22.133333333333333,0.26606204359117286,25.96807939580146,123.4943752467229,0.002299918401927032,0.906265252420606,0.84,12,72.31940045392408,159.39172532841718,3.290066434085108,2
2920.69483329791,28,149.28787604095814,14.305476220329728,10,40.822547995552924,Swift Group,Visionary Technologies,17903.05531303149,0.6188043770574626,0.7220318986993204,1.3560913973753088,0.9689705525434028,0.4019286167533143,18.73913043478261,0.21596069600075782,26.85501305552852,113.8256655230712,0.0020925945694120008,0.732591817004873,0.9473684210526315,13,72.50544057101459,165.9303975304339,3.3996458020695273,9
579.88894359182,13,83.27150296502587,4.329841518262469,6,30.558399357894483,Global Group,Global Enterprises,2043.420475761137,0.1563675536386269,0.28144251915825863,5.402634810353608,0.42041953231382323,0.19555044268412541,19.8,0.2922599804537128,29.435960617143127,84.14323020386001,0.009448868453729503,0.9126670514498484,1.0,20,38.89499555618833,166.0306971536216,0.1612648978305582,8
