totalsum,number_stops,Max_to_depot,Min_to_depot,vehicle_cap,greedy_total_sum,real_km_order,chosen_company,chosen_candidate
3178.31155300943,32,148.82730069104892,14.939552902319194,14,16045.78135942776,39.50367483321478,Elite Solutions,Modern Corporation
3306.9988221869,26,165.38559877829056,15.494782474459585,7,18536.47390844624,51.213674151920884,Visionary Group,Innovative Corporation
1053.7649092697056,11,163.85511530245253,24.66853341259753,16,3546.847391190042,65.01655726025413,Pioneer Networks,Dynamic Partners
1304.8306542640307,10,159.77165026293017,13.67886623096255,19,3740.8618251358125,91.35215555376091,Modern Solutions,Innovative Ventures
2068.517258453178,15,155.18827572845757,6.795491335172312,5,6824.794105403149,104.07009890507531,Global Ventures,Innovative Ventures
1106.7402359020332,12,163.85511530245253,26.94566182282459,18,3871.9731957054178,57.03395761686167,Modern Consulting,Dynamic Partners
1336.6906890483597,13,159.77165026293017,17.972458468755185,18,4269.336796789285,58.92357686361034,Modern Solutions,NextGen Corporation
1612.6984543235085,15,159.26827449290425,12.842320337305388,19,5786.282478191164,54.35410381664051,Dynamic Corporation,Visionary Solutions
2342.2084418080576,23,138.31974408666053,38.20486511240052,12,11008.973152336932,42.36116259751437,Swift Technologies,Dynamic Consulting
1344.8345813451683,12,163.85511530245253,12.77657895556526,16,4049.909271985943,57.603062336976,Dynamic Partners,Modern Networks
2895.8283442930815,29,163.9969010543319,4.470632090046654,19,16918.21242390692,38.76213301648735,Innovative Industries,Modern Ventures
2686.0168948623977,25,158.63222288721235,17.073430932617747,8,11281.319296036234,46.3854928076917,Pioneer Networks,Green Ventures
1360.546480427583,15,139.19977589477875,27.124986324524045,6,5744.2376339814255,64.25509056584164,Swift Networks,Elite Industries
1278.5428501885,18,133.4883964248207,9.238388348332093,13,6933.262069307218,43.96243428701623,Global Networks,Global Enterprises
2926.996566033009,28,163.9969010543319,4.470632090046654,2,14052.652521770628,114.35513419111192,Modern Networks,Innovative Industries
3263.2643458415664,31,163.4990131641021,13.167465617780524,13,20221.69785563741,36.90531575348914,Green Technologies,Global Consulting
2332.3463756375954,20,165.38559877829056,14.613008861516386,10,10100.163727731499,51.56769218816014,Innovative Corporation,Dynamic Ventures
1436.2626368319607,14,141.8369501526839,17.972458468755185,15,4671.803266409747,49.86085126194071,Pioneer Group,NextGen Corporation
1637.793381053258,15,155.60358623849757,8.911434012922687,20,5178.422394793521,49.19730037806022,Pioneer Ventures,Green Solutions
1366.1178306092957,15,114.91335795776192,36.675356699256646,3,4780.243261778168,86.29479683128748,NextGen Networks,Global Partners
